Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2021-06-02,Wonder Woman 1984,2020,https://boxd.it/1TYh7L,3,,,2021-01-08
2021-06-02,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/1TYkgV,5,Yes,,2021-03-03
2021-06-02,The Lord of the Rings: The Two Towers,2002,https://boxd.it/1TYkwJ,5,Yes,,2021-03-04
2021-06-02,The Lord of the Rings: The Return of the King,2003,https://boxd.it/1TYkzX,5,Yes,,2021-03-05
2021-06-02,WandaVision,2021,https://boxd.it/1TYgWX,4.5,,,2021-03-12
2021-06-02,Wind River,2017,https://boxd.it/1TYiOL,4.5,,,2021-04-15
2021-06-02,The Falcon and the Winter Soldier,2021,https://boxd.it/1TYgO5,4,,,2021-04-16
2021-06-02,Sound of Metal,2019,https://boxd.it/1TYi07,5,,,2021-04-24
2021-06-02,Carol,2015,https://boxd.it/1TYj1P,5,,,2021-04-26
2021-06-02,Tenet,2020,https://boxd.it/1TYhnT,3.5,,,2021-04-29
2021-06-02,Dunkirk,2017,https://boxd.it/1TYiHl,4,,,2021-04-29
2021-06-02,Edge of Tomorrow,2014,https://boxd.it/1TYj8L,4.5,,,2021-04-30
2021-06-02,The Girl with the Dragon Tattoo,2011,https://boxd.it/1TYjop,5,,,2021-05-03
2021-06-02,The Shawshank Redemption,1994,https://boxd.it/1TYkmJ,5,,,2021-05-07
2021-06-02,The Grand Budapest Hotel,2014,https://boxd.it/1TYjbP,4.5,,,2021-05-13
2021-06-02,Baby Driver,2017,https://boxd.it/1TYiLH,3,,,2021-05-16
2021-06-02,The Queen's Gambit,2020,https://boxd.it/1TYhjx,4.5,,,2021-05-20
2021-06-02,The Social Network,2010,https://boxd.it/1TYjrN,5,,,2021-05-20
2021-06-02,Zodiac,2007,https://boxd.it/1TYjUF,5,,,2021-05-20
2021-06-02,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/1TYk4l,5,,,2021-05-21
2021-06-02,Scott Pilgrim vs. the World,2010,https://boxd.it/1TYjwX,3.5,,,2021-05-22
2021-06-02,American Hustle,2013,https://boxd.it/1TYjeT,2,,,2021-05-23
2021-06-02,Side Effects,2013,https://boxd.it/1TYjir,3.5,,,2021-05-25
2021-06-02,Arrival,2016,https://boxd.it/1TYiVd,5,,,2021-05-27
2021-06-02,Nightcrawler,2014,https://boxd.it/1TYj53,4.5,,,2021-05-27
2021-06-02,The Truman Show,1998,https://boxd.it/1TYksd,4,,,2021-05-30
2021-06-02,Shutter Island,2010,https://boxd.it/1TYjAv,5,,,2021-05-31
2021-06-02,20th Century Women,2016,https://boxd.it/1TYiRl,4,,,2021-06-01
2021-06-02,The Curious Case of Benjamin Button,2008,https://boxd.it/1TZonN,4.5,,,2021-06-02
2021-06-07,Se7en,1995,https://boxd.it/1UDXnt,4.5,,,2021-06-07
2021-06-08,Inglourious Basterds,2009,https://boxd.it/1UISy7,5,,,2021-06-08
2021-06-15,Django Unchained,2012,https://boxd.it/1VFYVz,4,,,2021-06-13
2021-06-16,Uncut Gems,2019,https://boxd.it/1VJES9,2,,,2021-06-16
2021-06-16,Annihilation,2018,https://boxd.it/1VNWZZ,3.5,,,2021-06-16
2021-06-18,Cruella,2021,https://boxd.it/1VWufx,3.5,,,2021-06-18
2021-06-19,Begin Again,2013,https://boxd.it/1W1Ptb,4.5,,,2021-06-18
2021-11-08,Earthlings,2005,https://boxd.it/2gHstV,,,,2021-06-18
2021-06-21,Roma,2018,https://boxd.it/1WlVt7,5,,,2021-06-21
2021-06-23,I'm Still Here,2010,https://boxd.it/1WGxPv,,,,2021-06-22
2021-06-23,Ingrid Goes West,2017,https://boxd.it/1WGxRr,4,,,2021-06-22
2021-06-24,"Don't Worry, He Won't Get Far on Foot",2018,https://boxd.it/1WNLLh,4,,,2021-06-24
2021-06-26,Mank,2020,https://boxd.it/1X1gJn,4,,,2021-06-26
2021-06-27,mother!,2017,https://boxd.it/1X5Amr,3,,,2021-06-27
2021-06-30,Frances Ha,2012,https://boxd.it/1XzYb3,4,,,2021-06-30
2021-07-04,American Psycho,2000,https://boxd.it/1XYrVH,4.5,,,2021-07-03
2021-07-05,The Witch,2015,https://boxd.it/1Yj7WH,3,,,2021-07-05
2021-07-07,Lady Bird,2017,https://boxd.it/1YBihV,4,,,2021-07-07
2021-07-08,Monty Python and the Holy Grail,1975,https://boxd.it/1YJcFN,4,,,2021-07-08
2021-07-10,Black Widow,2021,https://boxd.it/1YUMtP,3.5,,,2021-07-10
2021-07-11,Under the Skin,2013,https://boxd.it/1ZbsjJ,3.5,,,2021-07-11
2021-07-13,Midsommar,2019,https://boxd.it/1ZuPhp,4.5,,,2021-07-13
2021-07-15,Loki,2021,https://boxd.it/1ZGiWt,3.5,,,2021-07-15
2021-07-18,The Lego Batman Movie,2017,https://boxd.it/207W9P,4,,,2021-07-18
2021-07-20,Lion,2016,https://boxd.it/20tRJH,4.5,,,2021-07-20
2021-08-25,Happiest Season,2020,https://boxd.it/25N1eR,4,,,2021-08-25
2021-09-04,Speak,2004,https://boxd.it/279FqV,5,,,2021-09-01
2021-09-19,Ocean's Eight,2018,https://boxd.it/297JDD,3,,,2021-09-18
2021-09-19,Portrait of a Lady on Fire,2019,https://boxd.it/29aekh,5,,,2021-09-19
2021-09-21,What We Do in the Shadows,2014,https://boxd.it/29ssxZ,4,,,2021-09-21
2021-09-21,Certain Women,2016,https://boxd.it/29x1F3,4.5,,,2021-09-21
2021-09-22,You Were Never Really Here,2017,https://boxd.it/29yMtF,4.5,,,2021-09-21
2021-09-22,Fight Club,1999,https://boxd.it/29DJ85,4.5,,,2021-09-22
2021-09-22,The Suicide Squad,2021,https://boxd.it/29EGNL,4.5,,,2021-09-22
2021-09-23,Clouds of Sils Maria,2014,https://boxd.it/29LXz1,4,,,2021-09-23
2021-09-24,The Lighthouse,2019,https://boxd.it/29OEX5,4.5,,,2021-09-24
2021-09-26,A Ghost Story,2017,https://boxd.it/2a30OH,4,,,2021-09-25
2021-09-26,Personal Shopper,2016,https://boxd.it/2a4VOh,5,,,2021-09-26
2021-09-27,Memento,2000,https://boxd.it/2ac21b,4.5,,,2021-09-26
2021-09-28,Whiplash,2014,https://boxd.it/2akEs1,4.5,,,2021-09-27
2021-09-28,Still Alice,2014,https://boxd.it/2anqyv,4,,,2021-09-28
2021-10-05,Panic Room,2002,https://boxd.it/2bs45v,4.5,,,2021-10-05
2021-10-11,But I'm a Cheerleader,1999,https://boxd.it/2ceBqd,3.5,,,2021-10-10
2021-10-15,Adventureland,2009,https://boxd.it/2cZb8r,3.5,,,2021-10-15
2021-11-01,Black Swan,2010,https://boxd.it/2fAw2B,5,,,2021-11-01
2021-11-12,American Ultra,2015,https://boxd.it/2ho65X,2.5,,,2021-11-12
2021-11-21,Shiva Baby,2020,https://boxd.it/2iOiD9,4.5,,,2021-11-21
2021-11-29,Spencer,2021,https://boxd.it/2jY24L,5,,,2021-11-29
2021-12-13,The Favourite,2018,https://boxd.it/2m26nN,5,,,2021-12-13
2021-12-23,Spider-Man: No Way Home,2021,https://boxd.it/2nLDnv,3,,,2021-12-22
2021-12-27,Titane,2021,https://boxd.it/2oR9I5,4.5,,,2021-12-27
2022-01-10,Charlie's Angels,2019,https://boxd.it/2ssWxr,1,,,2022-01-05
2022-01-10,Shiva Baby,2020,https://boxd.it/2ssWIf,4.5,Yes,,2022-01-08
2022-02-10,Manichitrathazhu,1993,https://boxd.it/2z52Jt,4,Yes,,2022-02-09
2022-02-13,The Worst Person in the World,2021,https://boxd.it/2zF6ZH,4,,,2022-02-13
2022-02-14,Portrait of a Lady on Fire,2019,https://boxd.it/2A06xb,5,Yes,,2022-02-14
2022-03-01,Mulholland Drive,2001,https://boxd.it/2CwYrN,5,,,2022-02-28
2022-03-07,The Batman,2022,https://boxd.it/2DPWzd,4.5,,,2022-03-07
2022-03-18,Train to Busan,2016,https://boxd.it/2FJwdB,4.5,,,2022-03-18
2022-03-25,The Power of the Dog,2021,https://boxd.it/2H3c07,4,,,2022-03-24
2022-03-26,The Handmaiden,2016,https://boxd.it/2Hb47P,5,,,2022-03-25
2022-03-27,Drive My Car,2021,https://boxd.it/2HypMZ,4.5,,,2022-03-27
2022-04-03,Vigil,2021,https://boxd.it/2IBmfD,4,,,2022-04-02
2022-04-18,Sharp Objects,2018,https://boxd.it/2LuYo7,5,,,2022-04-18
2022-04-21,Mare of Easttown,2021,https://boxd.it/2M0e6l,4,,,2022-04-20
2022-04-25,The Haunting of Bly Manor,2020,https://boxd.it/2MM42p,,,,2022-04-25
2022-04-27,Water Lilies,2007,https://boxd.it/2N71aH,4,,,2022-04-27
2022-04-28,Petite Maman,2021,https://boxd.it/2Ng7oN,4.5,,,2022-04-28
2022-04-29,Bound,1996,https://boxd.it/2Np1wz,4.5,,,2022-04-29
2022-04-30,The Nowhere Inn,2020,https://boxd.it/2NsiSt,3.5,,seriously what's wrong with me,2022-04-29
2022-04-30,Mistress America,2015,https://boxd.it/2Nz0w9,5,,,2022-04-30
2022-05-03,Diabolique,1996,https://boxd.it/2O8aN5,3.5,,,2022-05-03
2022-05-09,Tomboy,2011,https://boxd.it/2PfYTl,4.5,,,2022-05-09
2022-05-18,Ellie Parker,2005,https://boxd.it/2QFGqh,3.5,,,2022-05-10
2022-05-18,The Journey,2004,https://boxd.it/2QFGdx,5,,,2022-05-18
2022-05-19,Everything Everywhere All at Once,2022,https://boxd.it/2QQ7f1,5,,,2022-05-19
2022-05-23,Mulholland Drive,2001,https://boxd.it/2RLW0b,5,Yes,,2022-05-23
2022-07-04,Crimes of the Future,2022,https://boxd.it/2ZdkVd,4,,,2022-07-04
2022-07-05,Girlhood,2014,https://boxd.it/2ZpRCx,4.5,,,2022-07-05
2022-07-06,Birdman or (The Unexpected Virtue of Ignorance),2014,https://boxd.it/2ZJNe7,3,,,2022-07-06
2022-07-10,Persona,1966,https://boxd.it/30la7R,4.5,,,2022-07-09
2022-07-10,Thelma & Louise,1991,https://boxd.it/30nnBf,5,,,2022-07-10
2022-07-11,Videodrome,1983,https://boxd.it/30ABEt,4.5,,,2022-07-11
2022-07-11,8 Women,2002,https://boxd.it/30KSav,4,,,2022-07-11
2022-07-12,Desert Hearts,1985,https://boxd.it/30XfT3,4,,,2022-07-12
2022-07-15,Raw,2016,https://boxd.it/31lpcL,4.5,,,2022-07-14
